coffee_id,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points
#261473,8.58,8.5,8.42,8.58,8.25,8.42,10,10,10,8.58,0,89.33
#984405,7.67,7.67,7.58,7.67,7.83,7.58,10,10,10,7.75,0,83.75
#693585,7.67,7.92,7.67,7.58,7.67,7.67,10,10,10,7.58,0,83.75
#274853,7.83,7.75,7.5,7.58,7.67,7.67,10,10,10,7.67,0,83.67
#154686,7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,7.67,0,83.67
#127584,7.58,7.75,7.67,7.83,7.5,7.67,10,10,10,7.67,0,83.67
#125800,7.83,7.83,7.67,7.58,7.58,7.58,10,10,10,7.58,0,83.67
#356700,7.67,7.67,7.75,7.75,7.5,7.67,10,10,10,7.67,0,83.67
#150681,7.58,7.75,7.58,7.75,7.58,7.67,10,10,10,7.67,0,83.58
#744798,7.58,7.67,7.5,7.75,7.75,7.67,10,10,10,7.67,0,83.58
#329719,7.75,7.75,7.5,7.58,7.83,7.5,10,10,10,7.58,0,83.5
#443473,8.08,8,8.08,8.08,8,8,10,10,10,8,0,86.25
#275002,7.42,7.83,7.58,7.67,7.67,7.75,10,10,10,7.58,0,83.5
#183019,7.75,7.67,7.58,7.58,7.58,7.67,10,10,10,7.67,0,83.5
#947066,7.42,7.42,7.42,8,7.92,7.67,10,10,10,7.67,0,83.5
#677657,7.75,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,0,83.42
#434200,7.75,7.92,7.67,7.92,7.75,7.83,8.67,10,10,7.92,0,83.42
#735285,7.67,7.67,7.5,7.67,7.58,7.67,10,10,10,7.67,0,83.42
#191702,7.58,7.75,7.42,7.67,7.5,7.75,10,10,10,7.67,0,83.33
#852126,7.75,7.83,7.58,7.58,7.58,7.5,10,10,10,7.5,0,83.33
#913173,7.67,7.67,7.42,7.75,7.5,7.75,10,10,10,7.58,0,83.33
#128172,7.58,7.67,7.58,7.75,7.42,7.58,10,10,10,7.75,0,83.33
#126358,8.08,8,8,7.75,8.25,8.17,10,10,10,8,0,86.25
